"","x"
"1",0.661535733379424
"2",0.796526832738891
"3",0.384197252104059
"4",0.119609171291813
"5",0.0042589649092406
"6",0.623026731656864
"7",0.585765207186341
"8",0.744076696690172
"9",0.474230693653226
"10",0.88602910307236
"11",0.660693924175575
"12",0.849427895853296
"13",0.442624408984557
"14",0.340238706907257
"15",0.777529234532267
"16",0.0640249173156917
"17",0.123507062438875
"18",0.160088598262519
"19",0.224277500528842
"20",0.475169534562156
"21",0.440802315948531
"22",0.742998976027593
"23",0.456378368893638
"24",0.662499549798667
"25",0.128320451593027
"26",0.179385517491028
"27",0.100613304879516
"28",0.729400511831045
"29",0.233841113746166
"30",0.0191032085567713
"31",0.686344092013314
"32",0.633253318024799
"33",0.975483015645295
"34",0.954293987015262
"35",0.560789779061452
"36",0.736759094521403
"37",0.659878293052316
"38",0.682246105978265
"39",0.496017696103081
"40",0.924209514632821
"41",0.866250821389258
"42",0.713472531875595
"43",0.70483135827817
"44",0.0800110090058297
"45",0.572378569981083
"46",0.865137480199337
"47",0.950813644565642
"48",0.970814636908472
"49",0.626503660343587
"50",0.142403007717803
"51",0.760588735574856
"52",0.0754814683459699
"53",0.747847302816808
"54",0.194333118386567
"55",0.141074237879366
"56",0.893861189717427
"57",0.916378461988643
"58",0.986917032394558
"59",0.296344547532499
"60",0.264434276148677
"61",0.215467223199084
"62",0.926382385659963
"63",0.71282425802201
"64",0.606990420259535
"65",0.727025523781776
"66",0.719732923666015
"67",0.451549781719223
"68",0.590158655541018
"69",0.49473583442159
"70",0.0303681043442339
"71",0.35990960849449
"72",0.831027899635956
"73",0.40394991543144
"74",0.483667510794476
"75",0.840432153781876
"76",0.799900050740689
"77",0.875298467930406
"78",0.165893795434386
"79",0.293444133596495
"80",0.1352062842343
"81",0.220793709391728
"82",0.593880406813696
"83",0.361957102781162
"84",0.0111597061622888
"85",0.693084408761933
"86",0.458274591714144
"87",0.709845467936248
"88",0.480197739554569
"89",0.586624639807269
"90",0.0278176281135529
"91",0.692771018715575
"92",0.0522796849254519
"93",0.138461576076224
"94",0.910539474571124
"95",0.182704682461917
"96",0.668366081779823
"97",0.315615510568023
"98",0.967575400136411
"99",0.0349232677835971
"100",0.729271345073357
"101",0.491643495857716
"102",0.502896446036175
"103",0.0803800709545612
"104",0.192141454666853
"105",0.490898785647005
"106",0.558990940684453
"107",0.314027084503323
"108",0.134815325262025
"109",0.019340768456459
"110",0.196179891936481
"111",0.444452271796763
"112",0.446067246608436
"113",0.968727983999997
"114",0.994642622536048
"115",0.132167452014983
"116",0.494065919891
"117",0.288080250378698
"118",0.217438257532194
"119",0.812637629685923
"120",0.307044941233471
"121",0.585493122693151
"122",0.146631485316902
"123",0.244295791024342
"124",0.730350633850321
"125",0.658682009205222
"126",0.784020288847387
"127",0.389908475568518
"128",0.0602092554327101
"129",0.340752813965082
"130",0.379992085509002
"131",0.913806761149317
"132",0.298573178937659
"133",0.471767986193299
"134",0.632699704729021
"135",0.642999151954427
"136",0.553182008909062
"137",0.770040449220687
"138",0.00903119263239205
"139",0.33998238388449
"140",0.868736571399495
"141",0.0988657197449356
"142",0.507497774669901
"143",0.0739630470052361
"144",0.548176222248003
"145",0.85499143274501
"146",0.586196690332144
"147",0.358660922851413
"148",0.546039971057326
"149",0.236505665117875
"150",0.0637516300193965
"151",0.49107176461257
"152",0.504024856956676
"153",0.359681988367811
"154",0.454167487798259
"155",0.0422073006629944
"156",0.38859946350567
"157",0.00490952772088349
"158",0.766727735521272
"159",0.748758391942829
"160",0.746151764178649
"161",0.174533824669197
"162",0.0909152920357883
"163",0.961287225596607
"164",0.798690523486584
"165",0.962019484024495
"166",0.568007467547432
"167",0.589484037598595
"168",0.903688261052594
"169",0.0546675531659275
"170",0.0421722137834877
"171",0.427671093028039
"172",0.506440106546506
"173",0.786047714529559
"174",0.225084479199722
"175",0.739387720124796
"176",0.451549723744392
"177",0.442885456373915
"178",0.63138757343404
"179",0.681569916894659
"180",0.962330649606884
"181",0.599203517660499
"182",0.427167581859976
"183",0.121671627741307
"184",0.101644726470113
"185",0.660241201519966
"186",0.409880663733929
"187",0.29395857732743
"188",0.929482744075358
"189",0.166114786406979
"190",0.522862074663863
"191",0.556651917286217
"192",0.632880315417424
"193",0.974951596464962
"194",0.394714731955901
"195",0.305406982079148
"196",0.0290286198724061
"197",0.885164998704568
"198",0.497864473611116
"199",0.0698009754996747
"200",0.693752112332731
"201",0.478808505227789
"202",0.214076914126053
"203",0.00679780612699687
"204",0.874730117153376
"205",0.744321968173608
"206",0.966503401519731
"207",0.0622544472571462
"208",0.505235460121185
"209",0.123873058240861
"210",0.911172817926854
"211",0.647301846183836
"212",0.159883692162111
"213",0.431105206022039
"214",0.91102798609063
"215",0.194746123626828
"216",0.784343725768849
"217",0.848477456951514
"218",0.274991287384182
"219",0.540016010636464
"220",0.717908512568101
"221",0.0136545905843377
"222",0.46320870751515
"223",0.28034240542911
"224",0.962657178053632
"225",0.0264571744482964
"226",0.776183780282736
"227",0.567398842656985
"228",0.812068317085505
"229",0.180239036213607
"230",0.283501219935715
"231",0.1281029030215
"232",0.867467366158962
"233",0.933155322447419
"234",0.0838988637551665
"235",0.903085648547858
"236",0.947148415725678
"237",0.893952399259433
"238",0.290237667970359
"239",0.629449790343642
"240",0.798226969316602
"241",0.321765838190913
"242",0.563474225345999
"243",0.654706025961787
"244",0.412341904826462
"245",0.65358338993974
"246",0.289940791204572
"247",0.613616686314344
"248",0.951581235975027
"249",0.525670258561149
"250",0.558180978521705
"251",0.57950915582478
"252",0.900637112790719
"253",0.860751574859023
